"city_id","city_name","county_id","county_name","large_area","lgarea_group"
33,"Lake Forest Park",33,"King","Shoreline","Seattle and Shoreline"
5,"Shoreline",33,"King","Shoreline","Seattle and Shoreline"
116,"Darrington",61,"Snohomish","Snohomish Other","Snohomish Other"
137,"Darrington UGA",61,"Snohomish","Snohomish Other","Snohomish Other"
128,"Gold Bar",61,"Snohomish","Snohomish Other","Snohomish Other"
117,"Gold Bar UGA",61,"Snohomish","Snohomish Other","Snohomish Other"
129,"Granite Falls",61,"Snohomish","Snohomish Other","Snohomish Other"
133,"Granite Falls UGA",61,"Snohomish","Snohomish Other","Snohomish Other"
131,"Index",61,"Snohomish","Snohomish Other","Snohomish Other"
110,"Monroe",61,"Snohomish","Snohomish Other","Snohomish Other"
125,"Monroe UGA",61,"Snohomish","Snohomish Other","Snohomish Other"
114,"Sultan",61,"Snohomish","Snohomish Other","Snohomish Other"
135,"Sultan UGA",61,"Snohomish","Snohomish Other","Snohomish Other"
64,"Port Orchard",35,"Kitsap","South Kitsap","Central, North, and South Kitsap"
67,"Port Orchard UGA",35,"Kitsap","South Kitsap","Central, North, and South Kitsap"
23,"Burien",33,"King","SW King","SW King"
18,"Des Moines",33,"King","SW King","SW King"
20,"Federal Way",33,"King","SW King","SW King"
25,"Federal Way PAA",33,"King","SW King","SW King"
54,"Milton",33,"King","SW King","SW King"
57,"Milton PAA",33,"King","SW King","SW King"
1,"Normandy Park",33,"King","SW King","SW King"
11,"North Highline",33,"King","SW King","SW King"
61,"Pacific PAA",33,"King","SW King","SW King"
4,"Sea Tac",33,"King","SW King","SW King"
76,"DuPont",53,"Pierce","SW Pierce","SW Pierce"
81,"Fircrest",53,"Pierce","SW Pierce","SW Pierce"
75,"JBLM",53,"Pierce","SW Pierce","SW Pierce"
79,"Lakewood",53,"Pierce","SW Pierce","SW Pierce"
74,"Steilacoom",53,"Pierce","SW Pierce","SW Pierce"
80,"University Place",53,"Pierce","SW Pierce","SW Pierce"
139,"Bothell",61,"Snohomish","SW Snohomish","SW Snohomish (2)"
105,"Bothell MUGA",61,"Snohomish","SW Snohomish","SW Snohomish (2)"
96,"Brier",61,"Snohomish","SW Snohomish","SW Snohomish (2)"
97,"Brier MUGA",61,"Snohomish","SW Snohomish","SW Snohomish (2)"
98,"Edmonds",61,"Snohomish","SW Snohomish","SW Snohomish (1)"
118,"Edmonds MUGA",61,"Snohomish","SW Snohomish","SW Snohomish (1)"
109,"Everett MUGA",61,"Snohomish","SW Snohomish","SW Snohomish (2)"
107,"Lake Stickney Gap",61,"Snohomish","SW Snohomish","SW Snohomish (2)"
104,"Larch Way Overlap MUGA",61,"Snohomish","SW Snohomish","SW Snohomish (2)"
94,"Lynnwood",61,"Snohomish","SW Snohomish","SW Snohomish (1)"
102,"Lynnwood MUGA",61,"Snohomish","SW Snohomish","SW Snohomish (1)"
132,"Maltby UGA",61,"Snohomish","SW Snohomish","SW Snohomish (2)"
99,"Meadowdale Gap MUGA",61,"Snohomish","SW Snohomish","SW Snohomish (1)"
100,"Mill Creek",61,"Snohomish","SW Snohomish","SW Snohomish (2)"
103,"Mill Creek MUGA",61,"Snohomish","SW Snohomish","SW Snohomish (2)"
101,"Mountlake Terrace",61,"Snohomish","SW Snohomish","SW Snohomish (1)"
119,"Mountlake Terrace MUGA",61,"Snohomish","SW Snohomish","SW Snohomish (1)"
120,"Mukilteo",61,"Snohomish","SW Snohomish","SW Snohomish (1)"
108,"Mukilteo MUGA",61,"Snohomish","SW Snohomish","SW Snohomish (1)"
127,"Silver Firs Gap MUGA",61,"Snohomish","SW Snohomish","SW Snohomish (2)"
115,"Woodway",61,"Snohomish","SW Snohomish","SW Snohomish (1)"
136,"Woodway MUGA",61,"Snohomish","SW Snohomish","SW Snohomish (1)"
83,"Fife",53,"Pierce","Tacoma","Peninsula and Tacoma"
82,"Ruston",53,"Pierce","Tacoma","Peninsula and Tacoma"
59,"Tacoma",53,"Pierce","Tacoma","Peninsula and Tacoma"
49,"Snohomish-Rural",61,"Snohomish",,"Snohomish Other"
3,"King-Rural",33,"King",,"SE King and King Other"
63,"Kitsap-Rural",35,"Kitsap",,"Central, North, and South Kitsap"
29,"Pierce-Rural",53,"Pierce",,"Pierce Other (2)"
