"TAZ"	"COUNTY_FIP"	"COUNTY_NM"
400	33	"King"
401	33	"King"
402	33	"King"
403	33	"King"
404	33	"King"
405	33	"King"
406	33	"King"
407	33	"King"
408	33	"King"
409	33	"King"
410	33	"King"
411	33	"King"
412	33	"King"
413	33	"King"
414	33	"King"
415	33	"King"
416	33	"King"
417	33	"King"
418	33	"King"
419	33	"King"
420	33	"King"
421	33	"King"
422	33	"King"
423	33	"King"
424	33	"King"
425	33	"King"
426	33	"King"
427	33	"King"
428	33	"King"
429	33	"King"
430	33	"King"
431	33	"King"
432	33	"King"
433	33	"King"
434	33	"King"
435	33	"King"
436	33	"King"
437	33	"King"
438	33	"King"
439	33	"King"
440	33	"King"
441	33	"King"
442	33	"King"
443	33	"King"
444	33	"King"
445	33	"King"
446	33	"King"
447	33	"King"
448	33	"King"
449	33	"King"
450	33	"King"
451	33	"King"
452	33	"King"
453	33	"King"
454	33	"King"
455	33	"King"
456	33	"King"
457	33	"King"
458	33	"King"
459	33	"King"
460	33	"King"
461	33	"King"
462	33	"King"
463	33	"King"
464	33	"King"
465	33	"King"
466	33	"King"
467	33	"King"
468	33	"King"
469	33	"King"
470	33	"King"
471	33	"King"
472	33	"King"
473	33	"King"
474	33	"King"
475	33	"King"
476	33	"King"
477	33	"King"
478	33	"King"
479	33	"King"
480	33	"King"
481	33	"King"
482	33	"King"
483	33	"King"
484	33	"King"
485	33	"King"
486	33	"King"
487	33	"King"
488	33	"King"
489	33	"King"
490	33	"King"
491	33	"King"
492	33	"King"
493	33	"King"
494	33	"King"
495	33	"King"
496	33	"King"
497	33	"King"
498	33	"King"
499	33	"King"
500	33	"King"
501	33	"King"
502	33	"King"
503	33	"King"
504	33	"King"
505	33	"King"
506	33	"King"
507	33	"King"
508	33	"King"
509	33	"King"
510	33	"King"
511	33	"King"
512	33	"King"
513	33	"King"
514	33	"King"
515	33	"King"
516	33	"King"
517	33	"King"
518	33	"King"
519	33	"King"
520	33	"King"
521	33	"King"
522	33	"King"
523	33	"King"
524	33	"King"
525	33	"King"
526	33	"King"
527	33	"King"
528	33	"King"
529	33	"King"
530	33	"King"
531	33	"King"
532	33	"King"
533	33	"King"
534	33	"King"
535	33	"King"
536	33	"King"
537	33	"King"
538	33	"King"
539	33	"King"
540	33	"King"
541	33	"King"
542	33	"King"
543	33	"King"
544	33	"King"
545	33	"King"
546	33	"King"
547	33	"King"
548	33	"King"
549	33	"King"
550	33	"King"
551	33	"King"
552	33	"King"
553	33	"King"
554	33	"King"
555	33	"King"
556	33	"King"
557	33	"King"
558	33	"King"
559	33	"King"
560	33	"King"
561	33	"King"
562	33	"King"
563	33	"King"
564	33	"King"
565	33	"King"
566	33	"King"
567	33	"King"
568	33	"King"
569	33	"King"
570	33	"King"
571	33	"King"
572	33	"King"
573	33	"King"
574	33	"King"
575	33	"King"
576	33	"King"
577	33	"King"
578	33	"King"
579	33	"King"
580	33	"King"
581	33	"King"
582	33	"King"
583	33	"King"
584	33	"King"
585	33	"King"
586	33	"King"
587	33	"King"
588	33	"King"
589	33	"King"
590	33	"King"
591	33	"King"
592	33	"King"
593	33	"King"
594	33	"King"
595	33	"King"
596	33	"King"
597	33	"King"
598	33	"King"
599	33	"King"
600	33	"King"
601	33	"King"
602	33	"King"
603	33	"King"
604	33	"King"
605	33	"King"
606	33	"King"
607	33	"King"
608	33	"King"
609	33	"King"
610	33	"King"
611	33	"King"
612	33	"King"
613	33	"King"
614	33	"King"
615	33	"King"
616	33	"King"
617	33	"King"
618	33	"King"
619	33	"King"
620	33	"King"
621	33	"King"
622	33	"King"
623	33	"King"
624	33	"King"
625	33	"King"
626	33	"King"
627	33	"King"
628	33	"King"
629	33	"King"
630	33	"King"
631	33	"King"
632	33	"King"
633	33	"King"
634	33	"King"
635	33	"King"
636	33	"King"
637	33	"King"
638	33	"King"
639	33	"King"
640	33	"King"
641	33	"King"
642	33	"King"
643	33	"King"
644	33	"King"
645	33	"King"
646	33	"King"
647	33	"King"
648	33	"King"
649	33	"King"
650	33	"King"
651	33	"King"
652	33	"King"
653	33	"King"
654	33	"King"
655	33	"King"
656	33	"King"
657	33	"King"
658	33	"King"
659	33	"King"
660	33	"King"
661	33	"King"
662	33	"King"
663	33	"King"
664	33	"King"
665	33	"King"
666	33	"King"
667	33	"King"
668	33	"King"
669	33	"King"
670	33	"King"
671	33	"King"
672	33	"King"
673	33	"King"
674	33	"King"
675	33	"King"
676	33	"King"
677	33	"King"
678	33	"King"
679	33	"King"
680	33	"King"
681	33	"King"
682	33	"King"
683	33	"King"
684	33	"King"
685	33	"King"
686	33	"King"
687	33	"King"
688	33	"King"
689	33	"King"
690	33	"King"
691	33	"King"
692	33	"King"
693	33	"King"
694	33	"King"
695	33	"King"
696	33	"King"
697	33	"King"
698	33	"King"
699	33	"King"
700	33	"King"
701	33	"King"
702	33	"King"
703	33	"King"
704	33	"King"
705	33	"King"
706	33	"King"
707	33	"King"
708	33	"King"
709	33	"King"
710	33	"King"
711	33	"King"
712	33	"King"
713	33	"King"
714	33	"King"
715	33	"King"
716	33	"King"
717	33	"King"
718	33	"King"
719	33	"King"
720	33	"King"
721	33	"King"
722	33	"King"
723	33	"King"
724	33	"King"
725	33	"King"
726	33	"King"
727	33	"King"
728	33	"King"
729	33	"King"
730	33	"King"
731	33	"King"
732	33	"King"
733	33	"King"
734	33	"King"
735	33	"King"
736	33	"King"
737	33	"King"
738	33	"King"
739	33	"King"
740	33	"King"
741	33	"King"
742	33	"King"
743	33	"King"
744	33	"King"
745	33	"King"
746	33	"King"
747	33	"King"
748	33	"King"
749	33	"King"
750	33	"King"
751	33	"King"
752	33	"King"
753	33	"King"
754	33	"King"
755	33	"King"
756	33	"King"
757	33	"King"
758	33	"King"
759	33	"King"
760	33	"King"
761	33	"King"
762	33	"King"
763	33	"King"
764	33	"King"
765	33	"King"
766	33	"King"
767	33	"King"
768	33	"King"
769	33	"King"
770	33	"King"
771	33	"King"
772	33	"King"
773	33	"King"
774	33	"King"
775	33	"King"
776	33	"King"
777	33	"King"
778	33	"King"
779	33	"King"
780	33	"King"
781	33	"King"
782	33	"King"
783	33	"King"
784	33	"King"
785	33	"King"
786	33	"King"
787	33	"King"
788	33	"King"
789	33	"King"
790	33	"King"
791	33	"King"
792	33	"King"
793	33	"King"
794	33	"King"
795	33	"King"
796	33	"King"
797	33	"King"
798	33	"King"
799	33	"King"
800	33	"King"
801	33	"King"
802	33	"King"
803	33	"King"
804	33	"King"
805	33	"King"
806	33	"King"
807	33	"King"
808	33	"King"
809	33	"King"
810	33	"King"
811	33	"King"
812	33	"King"
813	33	"King"
814	33	"King"
815	33	"King"
816	33	"King"
817	33	"King"
818	33	"King"
819	33	"King"
820	33	"King"
821	33	"King"
822	33	"King"
823	33	"King"
824	33	"King"
825	33	"King"
826	33	"King"
827	33	"King"
828	33	"King"
829	33	"King"
830	33	"King"
831	33	"King"
832	33	"King"
833	33	"King"
834	33	"King"
835	33	"King"
836	33	"King"
837	33	"King"
838	33	"King"
839	33	"King"
840	33	"King"
841	33	"King"
842	33	"King"
843	33	"King"
844	33	"King"
845	33	"King"
846	33	"King"
847	33	"King"
848	33	"King"
849	33	"King"
850	33	"King"
851	33	"King"
852	33	"King"
853	33	"King"
854	33	"King"
855	33	"King"
856	33	"King"
857	33	"King"
858	33	"King"
859	33	"King"
860	33	"King"
861	33	"King"
862	33	"King"
863	33	"King"
864	33	"King"
865	33	"King"
866	33	"King"
867	33	"King"
868	33	"King"
869	33	"King"
870	33	"King"
871	33	"King"
872	33	"King"
873	33	"King"
874	33	"King"
875	33	"King"
876	33	"King"
877	33	"King"
878	33	"King"
879	33	"King"
880	33	"King"
881	33	"King"
882	33	"King"
883	33	"King"
884	33	"King"
885	33	"King"
886	33	"King"
887	33	"King"
888	33	"King"
889	33	"King"
890	33	"King"
891	33	"King"
892	33	"King"
893	33	"King"
894	33	"King"
895	33	"King"
896	33	"King"
897	33	"King"
898	33	"King"
899	33	"King"
900	33	"King"
901	33	"King"
902	33	"King"
903	33	"King"
904	33	"King"
905	33	"King"
906	33	"King"
907	33	"King"
908	33	"King"
909	33	"King"
910	33	"King"
911	33	"King"
912	33	"King"
913	33	"King"
914	33	"King"
915	33	"King"
916	33	"King"
917	33	"King"
918	33	"King"
919	33	"King"
920	33	"King"
921	33	"King"
922	33	"King"
923	33	"King"
924	33	"King"
925	33	"King"
926	33	"King"
927	33	"King"
928	33	"King"
929	33	"King"
930	33	"King"
931	33	"King"
932	33	"King"
933	33	"King"
934	33	"King"
935	33	"King"
936	33	"King"
937	33	"King"
938	33	"King"
939	33	"King"
940	33	"King"
941	33	"King"
942	33	"King"
943	33	"King"
944	33	"King"
945	33	"King"
946	33	"King"
947	33	"King"
948	33	"King"
949	33	"King"
950	33	"King"
951	33	"King"
952	33	"King"
953	33	"King"
954	33	"King"
955	33	"King"
956	33	"King"
957	33	"King"
958	33	"King"
959	33	"King"
960	33	"King"
961	33	"King"
962	33	"King"
963	33	"King"
964	33	"King"
965	33	"King"
966	33	"King"
967	33	"King"
968	33	"King"
969	33	"King"
970	33	"King"
971	33	"King"
972	33	"King"
973	33	"King"
974	33	"King"
975	33	"King"
976	33	"King"
977	33	"King"
978	33	"King"
979	33	"King"
980	33	"King"
981	33	"King"
982	33	"King"
983	33	"King"
984	33	"King"
985	33	"King"
986	33	"King"
987	33	"King"
988	33	"King"
989	33	"King"
990	33	"King"
991	33	"King"
992	33	"King"
993	33	"King"
994	33	"King"
995	33	"King"
996	33	"King"
997	33	"King"
998	33	"King"
999	33	"King"
1000	33	"King"
1001	33	"King"
1002	33	"King"
1003	33	"King"
1004	33	"King"
1005	33	"King"
1006	33	"King"
1007	33	"King"
1008	33	"King"
1009	33	"King"
1010	33	"King"
1011	33	"King"
1012	33	"King"
1013	33	"King"
1014	33	"King"
1015	33	"King"
1016	33	"King"
1017	33	"King"
1018	33	"King"
1019	33	"King"
1020	33	"King"
1021	33	"King"
1022	33	"King"
1023	33	"King"
1024	33	"King"
1025	33	"King"
1026	33	"King"
1027	33	"King"
1028	33	"King"
1029	33	"King"
1030	33	"King"
1031	33	"King"
1032	33	"King"
1033	33	"King"
1034	33	"King"
1035	33	"King"
1036	33	"King"
1037	33	"King"
1038	33	"King"
1039	33	"King"
1040	33	"King"
1041	33	"King"
1042	33	"King"
1043	33	"King"
1044	33	"King"
1045	33	"King"
1046	33	"King"
1047	33	"King"
1048	33	"King"
1049	33	"King"
1050	33	"King"
1051	33	"King"
1052	33	"King"
1053	33	"King"
1054	33	"King"
1055	33	"King"
1056	33	"King"
1057	33	"King"
1058	33	"King"
1059	33	"King"
1060	33	"King"
1061	33	"King"
1062	33	"King"
1063	33	"King"
1064	33	"King"
1065	33	"King"
1066	33	"King"
1067	33	"King"
1068	33	"King"
1069	33	"King"
1070	33	"King"
1071	33	"King"
1072	33	"King"
1073	33	"King"
1074	33	"King"
1075	33	"King"
1076	33	"King"
1077	33	"King"
1078	33	"King"
1079	33	"King"
1080	33	"King"
1081	33	"King"
1082	33	"King"
1083	33	"King"
1084	33	"King"
1085	33	"King"
1086	33	"King"
1087	33	"King"
1088	33	"King"
1089	33	"King"
1090	33	"King"
1091	33	"King"
1092	33	"King"
1093	33	"King"
1094	33	"King"
1095	33	"King"
1096	33	"King"
1097	33	"King"
1098	33	"King"
1099	33	"King"
1100	33	"King"
1101	33	"King"
1102	33	"King"
1103	33	"King"
1104	33	"King"
1105	33	"King"
1106	33	"King"
1107	33	"King"
1108	33	"King"
1109	33	"King"
1110	33	"King"
1111	33	"King"
1112	33	"King"
1113	33	"King"
1114	33	"King"
1115	33	"King"
1116	33	"King"
1117	33	"King"
1118	33	"King"
1119	33	"King"
1120	33	"King"
1121	33	"King"
1122	33	"King"
1123	33	"King"
1124	33	"King"
1125	33	"King"
1126	33	"King"
1127	33	"King"
1128	33	"King"
1129	33	"King"
1130	33	"King"
1131	33	"King"
1132	33	"King"
1133	33	"King"
1134	33	"King"
1135	33	"King"
1136	33	"King"
1137	33	"King"
1138	33	"King"
1139	33	"King"
1140	33	"King"
1141	33	"King"
1142	33	"King"
1143	33	"King"
1144	33	"King"
1145	33	"King"
1146	33	"King"
1147	33	"King"
