tractcity_2014, element, target_value
573, 'job.home_based_status==0', 263
574, 'job.home_based_status==0', 314
575, 'job.home_based_status==0', 422
575, 'job.home_based_status==0', 193
577, 'job.home_based_status==0', 267
578, 'job.home_based_status==0', 652
580, 'job.home_based_status==0', 88
582, 'job.home_based_status==0', 493
583, 'job.home_based_status==0', 229
585, 'job.home_based_status==0', 2004
587, 'job.home_based_status==0', 179
588, 'job.home_based_status==0', 299
591, 'job.home_based_status==0', 240
592, 'job.home_based_status==0', 4
595, 'job.home_based_status==0', 562
596, 'job.home_based_status==0', 621
597, 'job.home_based_status==0', 661
597, 'job.home_based_status==0', 266
599, 'job.home_based_status==0', 349
602, 'job.home_based_status==0', 652
603, 'job.home_based_status==0', 446
604, 'job.home_based_status==0', 294
605, 'job.home_based_status==0', 781
606, 'job.home_based_status==0', 862
607, 'job.home_based_status==0', 1514
611, 'job.home_based_status==0', 790
612, 'job.home_based_status==0', 602
613, 'job.home_based_status==0', 784
615, 'job.home_based_status==0', 614
616, 'job.home_based_status==0', 378
617, 'job.home_based_status==0', 417
618, 'job.home_based_status==0', 367
619, 'job.home_based_status==0', 568
620, 'job.home_based_status==0', 592
621, 'job.home_based_status==0', 789
623, 'job.home_based_status==0', 583
625, 'job.home_based_status==0', 749
625, 'job.home_based_status==0', 784
627, 'job.home_based_status==0', 1783
722, 'job.home_based_status==0', 1144
723, 'job.home_based_status==0', 1000
725, 'job.home_based_status==0', 320
730, 'job.home_based_status==0', 328
733, 'job.home_based_status==0', 871
734, 'job.home_based_status==0', 991
750, 'job.home_based_status==0', 354
751, 'job.home_based_status==0', 579
754, 'job.home_based_status==0', 1087
755, 'job.home_based_status==0', 1016
757, 'job.home_based_status==0', 294
758, 'job.home_based_status==0', 491
760, 'job.home_based_status==0', 404
763, 'job.home_based_status==0', 71
764, 'job.home_based_status==0', 284
767, 'job.home_based_status==0', 10689
768, 'job.home_based_status==0', 419
778, 'job.home_based_status==0', 80
779, 'job.home_based_status==0', 25
784, 'job.home_based_status==0', 47
785, 'job.home_based_status==0', 185
786, 'job.home_based_status==0', 65
786, 'job.home_based_status==0', 263
787, 'job.home_based_status==0', 104
788, 'job.home_based_status==0', 422
788, 'job.home_based_status==0', 193
789, 'job.home_based_status==0', 77
790, 'job.home_based_status==0', 267
790, 'job.home_based_status==0', 144
796, 'job.home_based_status==0', 817
798, 'job.home_based_status==0', 953
800, 'job.home_based_status==0', 1667
801, 'job.home_based_status==0', 2004
803, 'job.home_based_status==0', 1053
804, 'job.home_based_status==0', 1233
807, 'job.home_based_status==0', 5754
808, 'job.home_based_status==0', 119
809, 'job.home_based_status==0', 1268
811, 'job.home_based_status==0', 1107
812, 'job.home_based_status==0', 842
813, 'job.home_based_status==0', 2423
814, 'job.home_based_status==0', 2547
816, 'job.home_based_status==0', 244
819, 'job.home_based_status==0', 153
820, 'job.home_based_status==0', 323
821, 'job.home_based_status==0', 1150
